 "ZEIT[h]" "ZRET  1" "ZRETO  1"
  142.167   140.600   140.600
  142.333   140.600   140.600
  142.500   140.600   140.600
  142.667   140.600   140.600
  142.833   140.600   140.600
  143.000   140.600   140.600
  143.167   140.600   140.600
  143.333   140.600   140.600
  143.500   140.600   140.600
  143.667   140.600   140.600
  143.833   140.600   140.600
  144.000   140.600   140.600
  144.167   140.600   140.600
  144.333   140.600   140.600
  144.500   140.600   140.600
  144.667   140.600   140.600
  144.833   140.600   140.600
  145.000   140.600   140.600
  145.167   140.600   140.600
  145.333   140.600   140.600
  145.500   140.600   140.600
  145.667   140.600   140.600
  145.833   140.600   140.600
  146.000   140.600   140.600
  146.167   140.600   140.600
  146.333   140.600   140.600
  146.500   140.600   140.600
  146.667   140.600   140.600
  146.833   140.600   140.600
  147.000   140.600   140.600
  147.167   140.600   140.600
  147.333   140.600   140.600
  147.500   140.600   140.600
  147.667   140.600   140.600
  147.833   140.600   140.600
  148.000   140.600   140.600
  148.167   140.600   140.600
  148.333   140.600   140.600
  148.500   140.600   140.600
  148.667   140.600   140.600
  148.833   140.600   140.600
  149.000   140.600   140.600
  149.167   140.600   140.600
  149.333   140.600   140.600
  149.500   140.600   140.600
  149.667   140.600   140.600
  149.833   140.600   140.600
  150.000   140.600   140.600
  150.167   140.600   140.600
  150.333   140.600   140.600
  150.500   140.600   140.600
  150.667   140.600   140.600
  150.833   140.600   140.600
  151.000   140.600   140.600
  151.167   140.600   140.600
  151.333   140.600   140.600
  151.500   140.600   140.600
  151.667   140.600   140.600
  151.833   140.600   140.600
  152.000   140.600   140.600
  152.167   140.600   140.600
  152.333   140.600   140.600
  152.500   140.600   140.600
  152.667   140.600   140.600
  152.833   140.600   140.600
  153.000   140.600   140.600
  153.167   140.600   140.600
  153.333   140.600   140.600
  153.500   140.600   140.600
  153.667   140.600   140.600
  153.833   140.600   140.600
  154.000   140.600   140.600
  154.167   140.600   140.600
  154.333   140.600   140.600
  154.500   140.600   140.600
  154.667   140.600   140.600
  154.833   140.600   140.600
  155.000   140.600   140.600
  155.167   140.600   140.600
  155.333   140.600   140.600
  155.500   140.600   140.600
  155.667   140.600   140.600
  155.833   140.600   140.600
  156.000   140.600   140.600
  156.167   140.600   140.600
  156.333   140.600   140.600
  156.500   140.600   140.600
  156.667   140.600   140.600
  156.833   140.600   140.600
  157.000   140.600   140.600
  157.167   140.600   140.600
  157.333   140.600   140.600
  157.500   140.600   140.600
  157.667   140.600   140.600
  157.833   140.600   140.600
  158.000   140.600   140.600
  158.167   140.600   140.600
  158.333   140.600   140.600
  158.500   140.600   140.600
  158.667   140.600   140.600
  158.833   140.600   140.600
  159.000   140.600   140.600
  159.167   140.600   140.600
  159.333   140.600   140.600
  159.500   140.600   140.600
  159.667   140.600   140.600
  159.833   140.600   140.600
  160.000   140.600   140.600
  160.167   140.600   140.600
  160.333   140.600   140.600
  160.500   140.600   140.600
  160.667   140.600   140.600
  160.833   140.600   140.600
  161.000   140.600   140.600
  161.167   140.600   140.600
