"IAB","ITYPE","WIDTH","HEIT","ZTR","ZTL","XL","ZO","RNI","DZERO","HZERO","QZERO","ZS","CKS","HR0","HR1","RNV1","HR2","RNV2","HR3","RNV3","HR4","RNV4","HR5","RNV5","HR6","RNV6","HR7","RNV7","SF","X","Y","ID","ZSHIFT"                                                                                     
572,4,0.00,5.00,0.00,0.00,28814.0,111.33,0.0400,3.166,114.496,26.650,3.64,0.000,0.000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00055761,3472959.60,5446899.17,10488,0.00
422,4,0.00,5.00,0.00,0.00,28796.0,111.26,0.0400,3.222,114.482,26.650,3.70,0.000,0.000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00064594,3472948.79,5446913.41,10488,0.00
9422,5,0.00,5.00,0.00,0.00,28740.0,111.25,0.0400,3.177,114.429,26.670,2.62,0.000,0.000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00079397,3472929.35,5446965.86,10488,0.00
8422,5,0.00,5.00,0.00,0.00,28738.0,111.25,0.0400,3.175,114.426,26.670,2.56,0.700,0.000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00079954,3472928.78,5446967.78,10488,0.00
7422,5,0.00,5.00,0.00,0.00,28730.0,111.25,0.0400,3.198,114.449,22.569,2.56,0.700,0.000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00056483,3472926.51,5446975.45,10488,0.00
571,4,0.00,5.00,0.00,0.00,28726.0,111.25,0.0400,3.216,114.466,19.391,2.56,0.700,0.000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00041132,3472925.51,5446979.32,10488,0.00
6422,5,0.00,5.00,0.00,0.00,28720.0,111.15,0.0400,3.339,114.489,13.628,2.66,0.700,0.000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00026734,3472924.26,5446985.18,10488,0.00
5422,5,0.00,5.00,0.00,0.00,28719.0,111.13,0.0400,3.360,114.493,12.578,2.69,0.000,0.000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00024106,3472924.05,5446986.16,10488,0.00
4422,5,0.00,5.00,0.00,0.00,28718.0,111.12,0.0400,3.375,114.492,12.578,2.69,0.000,0.000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00025778,3472923.84,5446987.14,10488,0.00
570,4,0.00,5.00,0.00,0.00,28717.0,111.10,0.0400,3.391,114.491,12.578,3.61,0.000,0.000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00027685,3472923.63,5446988.12,10488,0.00
