"TXLS","QGAM","QKRA","QWEH","QMIN","D-E"
41418.812,1654.21,1500,154.21,15,139.21
41418.833,1649.95,1500,149.95,15,134.95
41418.854,1646.3,1500,146.3,15,131.3
41418.875,1655.57,1500,155.57,15,140.57
41418.896,1672.76,1500,172.76,15,157.76
41418.917,1684.46,1500,184.46,15,169.46
41418.937,1684.4,1500,184.4,15,169.4
41418.958,1674.22,1500,174.22,15,159.22
41418.979,1670.84,1500,170.84,15,155.84
41419,1664.08,1500,164.08,15,149.08
41419.021,1659.58,1500,159.58,15,144.58
41419.042,1665.14,1500,165.14,15,150.14
41419.062,1666.31,1500,166.31,15,151.31
41419.083,1663.73,1500,163.73,15,148.73
41419.104,1663.54,1500,163.54,15,148.54
41419.125,1686.27,1500,186.27,15,171.27
41419.146,1714.11,1500,214.11,15,199.11
41419.167,1721.22,1500,221.22,15,206.22
41419.187,1718.68,1500,218.68,15,203.68
41419.208,1696.37,1500,196.37,15,181.37
41419.229,1665.45,1500,165.45,15,150.45
41419.25,1644.8,1500,144.8,15,129.8
41419.271,1636.55,1500,136.55,15,121.55
41419.292,1640.68,1500,140.68,15,125.68
41419.312,1645.5,1500,145.5,15,130.5
41419.333,1648.9,1500,148.9,15,133.9
41419.354,1651.98,1500,151.98,15,136.98
41419.375,1651.63,1500,151.63,15,136.63
41419.396,1647.62,1500,147.62,15,132.62
