"ZEIT[H]" "K1101" "K1077" "K1013" "K 936" "K 971" "K1107" "K5117" "K1134" "K1146" "K1153" "K1157" "K1166" "K1190"
 41410.250 1441.50 1447.33 1455.34  665.82 1457.68 1439.63 1436.22 1430.28 1425.52 1422.48 1420.61 1415.62   15.00
 41410.271 1417.09 1420.91 1426.14  635.60 1427.68 1415.88 1413.70 1410.06 1407.29 1405.58 1404.55 1401.90   15.00
 41410.292 1407.01 1407.34 1407.39  614.86 1407.36 1406.90 1406.72 1406.60 1406.69 1406.83 1406.95 1407.39   15.00
 41410.312 1411.84 1409.25 1404.94  610.71 1403.56 1412.61 1414.04 1416.59 1418.70 1420.09 1420.97 1423.36   15.00
 41410.333 1425.83 1422.09 1416.38  621.68 1414.63 1426.98 1429.08 1432.71 1435.62 1437.48 1438.63 1441.71   15.00
 41410.354 1444.98 1440.77 1434.90  640.26 1433.21 1446.33 1448.81 1453.19 1456.74 1459.04 1460.47 1464.29   15.00
 41410.375 1469.73 1464.55 1457.49  662.44 1455.48 1471.40 1474.50 1480.01 1484.54 1487.48 1489.32 1494.25   25.98
 41410.396 1498.36 1492.69 1484.61  689.06 1482.22 1500.16 1503.44 1509.16 1513.75 1516.69 1518.51 1523.35   46.38
 41410.417 1524.50 1519.81 1513.06  717.96 1511.04 1525.96 1528.61 1533.12 1536.65 1538.88 1540.25 1543.83   60.61
 41410.437 1544.22 1541.10 1536.87  742.79 1535.65 1545.21 1547.02 1550.11 1552.54 1554.07 1555.01 1557.48   69.05
 41410.458 1558.32 1556.28 1553.67  760.24 1552.96 1558.99 1560.21 1562.34 1564.05 1565.14 1565.80 1567.57   75.95
 41410.479 1567.30 1566.20 1564.74  771.67 1564.32 1567.65 1568.28 1569.33 1570.13 1570.62 1570.92 1571.67   75.11
 41410.500 1569.35 1569.67 1570.18  777.85 1570.32 1569.25 1569.03 1568.57 1568.11 1567.78 1567.56 1566.93   63.58
 41410.521 1565.06 1566.45 1568.78  777.22 1569.52 1564.64 1563.87 1562.54 1561.46 1560.75 1560.32 1559.13   53.38
 41410.542 1558.82 1560.25 1562.60  771.07 1563.35 1558.40 1557.64 1556.38 1555.40 1554.79 1554.42 1553.44   48.85
 41410.562 1553.32 1554.35 1555.84  763.92 1556.29 1553.00 1552.42 1551.43 1550.65 1550.15 1549.85 1549.04   45.29
 41410.583 1548.62 1549.41 1550.44  758.33 1550.75 1548.37 1547.90 1547.09 1546.43 1546.01 1545.75 1545.06   41.80
 41410.604 1545.82 1546.11 1546.54  754.23 1546.69 1545.74 1545.60 1545.41 1545.31 1545.25 1545.23 1545.19   45.15
 41410.625 1547.76 1546.91 1545.72  752.79 1545.37 1548.03 1548.56 1549.56 1550.45 1551.05 1551.44 1552.51   57.87
 41410.646 1554.21 1552.57 1549.98  756.43 1549.16 1554.70 1555.61 1557.16 1558.42 1559.22 1559.72 1561.05   67.48
 41410.667 1560.44 1559.24 1557.26  763.91 1556.60 1560.79 1561.41 1562.39 1563.10 1563.54 1563.79 1564.44   67.37
 41410.687 1562.65 1562.59 1562.52  769.96 1562.48 1562.66 1562.66 1562.60 1562.48 1562.38 1562.31 1562.07   60.75
 41410.708 1560.21 1561.17 1562.73  770.86 1563.23 1559.92 1559.38 1558.41 1557.60 1557.06 1556.72 1555.80   51.24
 41410.729 1553.53 1555.29 1557.96  766.49 1558.78 1552.99 1551.98 1550.19 1548.72 1547.76 1547.16 1545.53   37.67
 41410.750 1543.27 1545.60 1549.06  757.89 1550.11 1542.55 1541.22 1538.90 1537.02 1535.80 1535.04 1533.01   23.32
 41410.771 1533.18 1535.05 1537.96  746.64 1538.88 1532.62 1531.61 1529.96 1528.71 1527.94 1527.47 1526.26   20.72
 41410.792 1528.44 1528.85 1529.44  737.20 1529.63 1528.32 1528.13 1527.90 1527.81 1527.80 1527.80 1527.86   28.40
 41410.812 1529.65 1528.81 1527.33  734.24 1526.86 1529.90 1530.35 1531.15 1531.82 1532.26 1532.54 1533.30   37.06
 41410.833 1534.25 1532.95 1530.85  737.51 1530.19 1534.64 1535.34 1536.55 1537.50 1538.12 1538.50 1539.51   44.35
 41410.854 1540.47 1539.08 1537.03  743.74 1536.41 1540.91 1541.70 1543.07 1544.17 1544.88 1545.32 1546.50   52.12
 41410.875 1547.75 1546.27 1544.17  750.88 1543.55 1548.22 1549.07 1550.57 1551.79 1552.57 1553.06 1554.36   60.61
 41410.896 1554.90 1553.58 1551.65  758.40 1551.07 1555.30 1556.04 1557.30 1558.28 1558.91 1559.29 1560.30   65.06
 41410.917 1559.80 1559.09 1558.05  765.12 1557.73 1560.01 1560.40 1561.03 1561.49 1561.77 1561.94 1562.35   64.23
 41410.937 1561.59 1561.55 1561.60  769.12 1561.63 1561.61 1561.63 1561.65 1561.64 1561.63 1561.62 1561.56   61.21
 41410.958 1561.00 1561.37 1562.04  769.81 1562.26 1560.90 1560.70 1560.36 1560.08 1559.90 1559.79 1559.48   57.94
 41410.979 1560.10 1560.30 1560.74  768.45 1560.91 1560.06 1559.99 1559.91 1559.89 1559.89 1559.90 1559.93   60.20
 41411.000 1561.82 1561.24 1560.47  767.71 1560.26 1562.01 1562.39 1563.09 1563.72 1564.14 1564.42 1565.18   68.99
 41411.021 1565.73 1564.81 1563.26  770.12 1562.76 1566.00 1566.48 1567.29 1567.91 1568.30 1568.53 1569.16   72.12
 41411.042 1566.93 1566.95 1566.74  774.08 1566.62 1566.90 1566.81 1566.52 1566.20 1565.95 1565.78 1565.29   62.60
 41411.062 1561.55 1563.20 1565.64  774.05 1566.37 1561.04 1560.05 1558.26 1556.72 1555.70 1555.05 1553.27   44.50
 41411.083 1549.96 1552.82 1557.22  766.46 1558.58 1549.08 1547.47 1544.64 1542.33 1540.84 1539.91 1537.40   25.39
